Model,Family,Line,Platform,Launch Date,# of CPU Cores,# of Threads,# of GPU Cores,Compute Cores,Base Clock,Max Boost Clock,All Core Boost Speed,Total L1 Cache,Total L2 Cache,Total L3 Cache,Unlocked,CMOS,Package,Socket Count,PCI Express® Version AMD EPYC™ 7002 Series,Thermal Solution PIB,Default TDP / TDP AMD EPYC™ 7002 Series,cTDP,Max Temps,System Memory Specification AMD EPYC™ 7002 Series,System Memory Type,Memory Channels,Per Socket Mem BW,Graphics Frequency,GPU Base,Graphics Model,Graphics Core Count,DisplayPort,HDMI,DVI,VGA
AMD Ryzen™ 7 PRO 2700,AMD Ryzen™ PRO Processors,AMD Ryzen™ 7 PRO Desktop Processors,Desktop,,8,16,,,3.2GHz,4.1GHz,,768KB,4MB,16MB,Yes,12nm,AM4,,PCIe 3.0,Not included,65W,,95°C,2933MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 7 PRO 1700X Processor,AMD Ryzen™ PRO Processors,AMD Ryzen™ 7 PRO Desktop Processors,Desktop,06/29/2017,8,16,,,3.4GHz,3.8GHz,,,4MB,16MB,No,14nm,AM4,,PCIe 3.0 x16,,95W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 7 PRO 1700,AMD Ryzen™ PRO Processors,AMD Ryzen™ 7 PRO Desktop Processors,Desktop,06/29/2017,8,16,,,3GHz,3.7GHz,,768KB,4MB,16MB,No,14nm,AM4,,PCIe 3.0 x16,,65W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 7 3800X,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Desktop,7/7/2019,8,16,,,3.9GHz,4.5GHz,,64KB,4MB,32MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0 x16,Wraith Prism with RGB LED,105W,,95°C,3200MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 7 3750H,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ RX Vega Graphics,Laptop,Q1 2019,4,8,10,,2.3GHz,4GHz,,384KB,2MB,4MB,No,12nm,FP5,,PCIe 3.0,n/a,35W,12-35W,105°C,2400MHz,,2,,1400 MHz,,Radeon™ RX Vega 10 Graphics,10,Yes,Yes,,
AMD Ryzen™ 7 3700X,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Desktop,7/7/2019,8,16,,,3.6GHz,4.4GHz,,64KB,4MB,32MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0 x16,Wraith Prism with RGB LED,65W,,95°C,3200MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 7 3700U,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ RX Vega Graphics,Laptop,Q1 2019,4,8,10,,2.3GHz,4GHz,,384KB,2MB,4MB,No,12nm,FP5,,PCIe 3.0,n/a,15W,12-35W,105°C,2400MHz,,2,,1400 MHz,,Radeon™ RX Vega 10 Graphics,10,Yes,Yes,,
AMD Ryzen™ 7 2800H,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ RX Vega Graphics,Laptop,9/10/2018,4,8,11,,3.3GHz,3.8GHz,,192KB,2MB,4MB,No,14nm,FP5,,PCIe 3.0,n/a,45W,35-54W,95°C,3200MHz,,2,,1300 MHz,,Radeon™ RX Vega 11 Graphics,11,Yes,Yes,,
AMD Ryzen™ 7 2700X,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Desktop,04/19/2018,8,16,,,3.7GHz,4.3GHz,,768KB,4MB,16MB,Yes,12nm FinFET,AM4,,PCIe 3.0 x16,Wraith Prism with RGB LED,105W,,85°C,2933MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 7 2700U,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ RX Vega Graphics,Laptop,10/26/2017,4,8,10,,2.2GHz,3.8GHz,,384KB,2MB,4MB,No,14nm,FP5,,PCIe 3.0,n/a,15W,12-25W,95°C,2400MHz,,2,,1300 MHz,,Radeon™ RX Vega 10 Graphics,10,Yes,Yes,,
AMD Ryzen™ 7 2700E Processor,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Desktop,September 2018,8,16,,,2.8GHz,4GHz,,768KB,4MB,16MB,Yes,12nm,AM4,,PCIe 3.0,Not included,45W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 7 2700,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Desktop,04/19/2018,8,16,,,3.2GHz,4.1GHz,,768KB,4MB,16MB,Yes,12nm FinFET,AM4,,PCIe 3.0 x16,Wraith Spire with RGB LED,65W,,95°C,2933MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 7 1800X,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Desktop,3/2/2017,8,16,,,3.6GHz,4GHz,,768KB,4MB,16MB,Yes,14nm,AM4,,PCIe 3.0 x16,Not included,95W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 7 1700X,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Desktop,3/2/2017,8,16,,,3.4GHz,3.8GHz,,768KB,4MB,16MB,Yes,14nm,AM4,,PCIe 3.0 x16,Not included,95W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 7 1700 Processor,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Desktop,3/2/2017,8,16,,,3GHz,3.7GHz,,768KB,4MB,16MB,Yes,14nm,AM4,,PCIe 3.0 x16,Wraith Spire (LED),65W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 5 PRO 3500U,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO Mobile Processors with Radeon™ Vega Graphics,Laptop,4/8/2019,4,8,8,,2.1GHz,3.7GHz,,384KB,2MB,4MB,No,12nm,FP5,,PCIe 3.0,n/a,15W,12-25W,95°C,2400MHz,,2,,1200 MHz,,Radeon™ Vega 8 Graphics,8,Yes,Yes,,
AMD Ryzen™ 5 PRO 2600,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO Desktop Processors,Desktop,,6,12,,,3.4GHz,3.9GHz,,576KB,3MB,16MB,Yes,12nm,AM4,,PCIe 3.0,Not included,65W,,95°C,2933MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 5 PRO 2500U,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO Mobile Processors with Radeon™ Vega Graphics,Laptop,Q1 2019,4,8,8,,2GHz,3.6GHz,,384KB,2MB,4MB,No,14nm,FP5,,PCIe 3.0,n/a,15W,12-25W,95°C,2400MHz,,2,,1100 MHz,,Radeon™ Vega 8 Graphics,8,Yes,Yes,,
AMD Ryzen™ 5 PRO 2400GE with Radeon™ Vega 11 Graphics,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO Desktop Processors with Radeon™ Vega Graphics,Desktop,5/10/2018,4,8,11,,3.2GHz,3.8GHz,,384KB,2MB,4MB,Yes,14nm FinFET,AM4,,PCIe 3.0 x8,Not included,35W,n/aW,95°C,2933MHz,,2,,1250 MHz,,Radeon™ Vega 11 Graphics,11,Yes,Yes,,
AMD Ryzen™ 5 PRO 2400G with Radeon™ Vega 11 Graphics,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO Desktop Processors with Radeon™ Vega Graphics,Desktop,5/10/2018,4,8,11,15 (4 CPU + 11 GPU),3.6GHz,3.9GHz,,384KB,2MB,4MB,Yes,14nm FinFET,AM4,,PCIe 3.0,Wraith Stealth,65W,46-65W,95°C,2933MHz,,2,,1250 MHz,,Radeon™ Vega 11 Graphics,11,Yes,Yes,,
AMD Ryzen™ 5 PRO 1600,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO Desktop Processors,Desktop,06/29/2017,6,12,,,3.2GHz,3.6GHz,,576KB,3MB,16MB,No,14nm,AM4,,PCIe 3.0 x16,,65W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 5 PRO 1500,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO Desktop Processors,Desktop,06/29/2017,4,8,,,3.5GHz,3.7GHz,,384KB,2MB,16MB,No,14nm,AM4,,PCIe 3.0 x16,,65W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 5 3600X,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Desktop,7/7/2019,6,12,,,3.8GHz,4.4GHz,,64KB,3MB,32MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0 x16,Wraith Spire,95W,,95°C,3200MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 5 3600,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Desktop,7/7/2019,6,12,,,3.6GHz,4.2GHz,,64KB,3MB,32MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0 x16,Wraith Stealth,65W,,95°C,3200MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 5 3550H,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Vega Graphics,Laptop,Q1 2019,4,8,8,,2.1GHz,3.7GHz,,384KB,2MB,4MB,No,12nm,FP5,,PCIe 3.0,n/a,35W,12-35W,105°C,2400MHz,,2,,1200 MHz,,Radeon™ Vega 8 Graphics,8,Yes,Yes,,
AMD Ryzen™ 5 3500U,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Vega Graphics,Laptop,Q1 2019,4,8,8,,2.1GHz,3.7GHz,,384KB,2MB,4MB,No,12nm,FP5,,PCIe 3.0,n/a,15W,12-35W,105°C,2400MHz,,2,,1200 MHz,,Radeon™ Vega 8 Graphics,8,Yes,Yes,,
AMD Ryzen™ 5 3400G with Radeon™ RX Vega 11 Graphics,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors with Radeon™ Vega Graphics,Desktop,7/7/2019,4,8,11,,3.7GHz,4.2GHz,,384KB,2MB,4MB,Yes,12nm FinFET,AM4,,PCIe 3.0 x8,Wraith Spire,65W,45-65W,95°C,2933MHz,,2,,1400 MHz,,Radeon™ RX Vega 11 Graphics,11,Yes,Yes,,
AMD Ryzen™ 5 2600X,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Desktop,04/19/2018,6,12,,,3.6GHz,4.2GHz,,576KB,3MB,16MB,Yes,12nm FinFET,AM4,,PCIe 3.0 x16,Wraith Spire,95W,,95°C,2933MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 5 2600H,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Vega Graphics,Laptop,9/10/2018,4,8,8,,3.2GHz,3.6GHz,,192KB,2MB,4MB,No,14nm,FP5,,PCIe 3.0,n/a,45W,35-54W,95°C,3200MHz,,2,,1100 MHz,,Radeon™ Vega 8 Graphics,8,Yes,Yes,,
AMD Ryzen™ 5 2600E,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Desktop,September 2018,6,12,,,3.1GHz,4GHz,,578KB,3MB,16MB,Yes,12nm,AM4,,PCIe 3.0,Not included,45W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 5 2600,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Desktop,04/19/2018,6,12,,,3.4GHz,3.9GHz,,576KB,3MB,16MB,Yes,12nm FinFET,AM4,,PCIe 3.0 x16,Wraith Stealth,65W,,95°C,2933MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 5 2500X,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Desktop,9/10/2018,4,8,,,3.6GHz,4GHz,,384KB,2MB,8MB,Yes,12nm,AM4,,PCIe 3.0,Not included,65W,,95°C,2933MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 5 2500U,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Vega Graphics,Laptop,10/26/2017,4,8,8,,2GHz,3.6GHz,,384KB,2MB,4MB,No,14nm,FP5,,PCIe 3.0,n/a,15W,12-25W,95°C,2400MHz,,2,,1100 MHz,,Radeon™ Vega 8 Graphics,8,Yes,Yes,,
AMD Ryzen™ 5 2400GE with Radeon™ RX Vega 11 Graphics,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors with Radeon™ Vega Graphics,Desktop,04/19/2018,4,8,11,,3.2GHz,3.8GHz,,384KB,2MB,4MB,Yes,14nm FinFET,AM4,,PCIe 3.0 x8,Not included,35W,,95°C,2933MHz,,2,,1250 MHz,,Radeon™ RX Vega 11 Graphics,11,Yes,Yes,,
AMD Ryzen™ 5 2400G with Radeon™ RX Vega 11 Graphics,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors with Radeon™ Vega Graphics,Desktop,02/12/2018,4,8,11,,3.6GHz,3.9GHz,,384KB,2MB,4MB,Yes,14nm FinFET,AM4,,PCIe 3.0 x8,Wraith Stealth,65W,46-65W,95°C,2933MHz,,2,,1250 MHz,,Radeon™ RX Vega 11 Graphics,11,Yes,Yes,,
AMD Ryzen™ 5 1600X,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Desktop,4/11/2017,6,12,,,3.6GHz,4GHz,,576KB,3MB,16MB,Yes,14nm,AM4,,PCIe 3.0 x16,Not included,95W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 5 1600,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Desktop,4/11/2017,6,12,,,3.2GHz,3.6GHz,,576KB,3MB,16MB,Yes,14nm,AM4,,PCIe 3.0 x16,Wraith Spire (No LED),65W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 5 1500X,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Desktop,4/11/2017,4,8,,,3.5GHz,3.7GHz,,384KB,2MB,16MB,Yes,14nm,AM4,,PCIe 3.0 x16,Wraith Spire (No LED),65W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 5 1400,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Desktop,4/11/2017,4,8,,,3.2GHz,3.4GHz,,384KB,2MB,8MB,Yes,14nm,AM4,,PCIe 3.0 x16,Wraith Stealth,65W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 3 PRO 3300U,AMD Ryzen™ PRO Processors,AMD Ryzen™ 3 PRO Mobile Processors with Radeon™ Vega Graphics,Laptop,4/8/2019,4,4,6,,2.1GHz,3.5GHz,,384KB,2MB,4MB,No,12nm,FP5,,PCIe 3.0,n/a,15W,12-25W,95°C,2400MHz,,2,,1200 MHz,,Radeon™ Vega 6 Graphics,6,Yes,Yes,,
AMD Ryzen™ 3 PRO 2300U,AMD Ryzen™ PRO Processors,AMD Ryzen™ 3 PRO Mobile Processors with Radeon™ Vega Graphics,Laptop,Q1 2019,4,4,6,,2GHz,3.4GHz,,384KB,2MB,4MB,No,14nm,FP5,,PCIe 3.0,n/a,15W,12-25W,95°C,2400MHz,,2,,1100 MHz,,Radeon™ Vega 6 Graphics,6,Yes,Yes,,
AMD Ryzen™ 3 PRO 2200GE with Radeon™ Vega 8 Graphics,AMD Ryzen™ PRO Processors,AMD Ryzen™ 3 PRO Desktop Processors with Radeon™ Vega Graphics,Desktop,5/10/2018,4,4,8,,3.2GHz,3.6GHz,,384KB,2MB,4MB,Yes,14nm FinFET,AM4,,PCIe 3.0 x8,Not included,35W,n/aW,95°C,2933MHz,,2,,1100 MHz,,Radeon™ Vega 8 Graphics,8,Yes,Yes,,
AMD Ryzen™ 3 PRO 2200G with Radeon™ Vega 8 Graphics,AMD Ryzen™ PRO Processors,AMD Ryzen™ 3 PRO Desktop Processors with Radeon™ Vega Graphics,Desktop,5/10/2018,4,4,8,12 (4 CPU + 8 GPU),3.5GHz,3.7GHz,,348KB,2MB,4MB,Yes,14nm FinFET,AM4,,PCIe 3.0,Wraith Stealth,65W,46-65W,95°C,2933MHz,,2,,1100 MHz,,Radeon™ Vega 8 Graphics,8,Yes,Yes,,
AMD Ryzen™ 3 PRO 1300,AMD Ryzen™ PRO Processors,AMD Ryzen™ 3 PRO Desktop Processors,Desktop,06/29/2017,4,4,,,3.5GHz,3.7GHz,,384KB,2MB,8MB,No,14nm,AM4,,PCIe 3.0 x16,,65W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 3 PRO 1200,AMD Ryzen™ PRO Processors,AMD Ryzen™ 3 PRO Desktop Processors,Desktop,06/29/2017,4,4,,,3.1GHz,3.4GHz,,384KB,2MB,8MB,No,14nm,AM4,,PCIe 3.0 x16,,65W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 3 3300U,AMD Ryzen™ Processors,AMD Ryzen™ 3 Mobile Processors with Radeon™ Vega Graphics,Laptop,Q1 2019,4,4,6,,2.1GHz,3.5GHz,,384KB,2MB,4MB,No,12nm,FP5,,PCIe 3.0,n/a,15W,12-35W,105°C,2400MHz,,2,,1200 MHz,,Radeon™ Vega 6 Graphics,6,Yes,Yes,,
AMD Ryzen™ 3 3200U,AMD Ryzen™ Processors,AMD Ryzen™ 3 Mobile Processors with Radeon™ Vega Graphics,Laptop,Q1 2019,2,4,3,,2.6GHz,3.5GHz,,192KB,1MB,4MB,No,14nm,FP5,,PCIe 3.0,n/a,15W,12-25W,105°C,2400MHz,,2,,1200 MHz,,Radeon™ Vega 3 Graphics,3,Yes,Yes,,
AMD Ryzen™ 3 3200G with Radeon™ Vega 8 Graphics,AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors with Radeon™ Vega Graphics,Desktop,7/7/2019,4,4,8,,3.6GHz,4GHz,,384KB,2MB,4MB,Yes,12nm FinFET,AM4,,PCIe 3.0 x8,Wraith Stealth,65W,45-65W,95°C,2933MHz,,2,,1250 MHz,,Radeon™ Vega 8 Graphics,8,Yes,Yes,,
AMD Ryzen™ 3 2300X,AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors,Desktop,9/10/2018,4,4,,,3.5GHz,4GHz,,384KB,2MB,8MB,Yes,12nm,AM4,,PCIe 3.0,Not included,65W,,95°C,2933MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 3 2300U,AMD Ryzen™ Processors,AMD Ryzen™ 3 Mobile Processors with Radeon™ Vega Graphics,Laptop,1/8/2018,4,4,6,,2GHz,3.4GHz,,384KB,2MB,4MB,No,14nm,FP5,,PCIe 3.0,n/a,15W,12-25W,95°C,2400MHz,,2,,1100 MHz,,Radeon™ Vega 6 Graphics,6,Yes,Yes,,
AMD Ryzen™ 3 2200U,AMD Ryzen™ Processors,AMD Ryzen™ 3 Mobile Processors with Radeon™ Vega Graphics,Laptop,1/8/2018,2,4,3,,2.5GHz,3.4GHz,,384KB,1MB,4MB,No,14nm,FP5,,PCIe 3.0,n/a,15W,12-25W,95°C,2400MHz,,2,,1100 MHz,,Radeon™ Vega 3 Graphics,3,Yes,Yes,,
AMD Ryzen™ 3 2200GE with Radeon™ Vega 8 Graphics,AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors with Radeon™ Vega Graphics,Desktop,04/19/2018,4,4,8,,3.2GHz,3.6GHz,,384KB,2MB,4MB,Yes,14nm FinFET,AM4,,PCIe 3.0 x8,Not included,35W,,95°C,2933MHz,,2,,1100 MHz,,Radeon™ Vega 8 Graphics,8,Yes,Yes,,
AMD Ryzen™ 3 2200G with Radeon™ Vega 8 Graphics,AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors with Radeon™ Vega Graphics,Desktop,02/12/2018,4,4,8,,3.5GHz,3.7GHz,,384KB,2MB,4MB,Yes,14nm FinFET,AM4,,PCIe 3.0 x8,Wraith Stealth,65W,46-65W,95°C,2993MHz,,2,,1100 MHz,,Radeon™ Vega 8 Graphics,8,Yes,Yes,,
AMD Ryzen™ 3 1300X,AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors,Desktop,07/27/2017,4,4,,,3.5GHz,3.7GHz,,384KB,2MB,8MB,Yes,14nm,AM4,,PCIe 3.0 x16,Wraith Stealth,65W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 3 1200,AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors,Desktop,07/27/2017,4,4,,,3.1GHz,3.4GHz,,384KB,2MB,8MB,Yes,14nm,AM4,,PCIe 3.0 x16,Wraith Stealth,65W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Opteron™ X2170,AMD Opteron™,AMD Opteron™ X2100 Series APU,Server,,4,4,,,2.4GHz,,,,2MB,,,28nm,FT3,,,,25W,,,1866MHz,,,,800 MHz,,,128,,,,
AMD Opteron™ X2150 APU,AMD Opteron™,AMD Opteron™ X2100 Series APU,Server,,4,4,,,1.9GHz,,,,2MB,,No,28nm,FT3,,,,22W,,,,,,,600 MHz,,AMD Radeon™ HD 8400,,No,,,
AMD EPYC™ 7742,AMD EPYC™,AMD EPYC™ 7002 Series,Server,,64,128,,,2.25GHz,3.4GHz,,,,256MB,,,SP3,1P/2P,PCIe 4.0 x128,,225W,,,3200MHz,DDR4,8,204.80 GB/s,,,,,,,,
AMD EPYC™ 7702P,AMD EPYC™,AMD EPYC™ 7002 Series,Server,,64,128,,,2GHz,3.35GHz,,,,256MB,,,SP3,1P,PCIe 4.0 x128,,200W,,,3200MHz,DDR4,8,204.80 GB/s,,,,,,,,
AMD EPYC™ 7702,AMD EPYC™,AMD EPYC™ 7002 Series,Server,,64,128,,,2GHz,3.35GHz,,,,256MB,,,SP3,1P/2P,PCIe 4.0 x128,,200W,,,3200MHz,DDR4,8,204.80 GB/s,,,,,,,,
AMD EPYC™ 7642,AMD EPYC™,AMD EPYC™ 7002 Series,Server,,48,96,,,2.3GHz,3.3GHz,,,,256MB,,,SP3,1P/2P,PCIe 4.0 x128,,225W,,,3200MHz,DDR4,8,204.80 GB/s,,,,,,,,
AMD EPYC™ 7601,AMD EPYC™,AMD EPYC™ 7001 Series,Server,,32,64,,,2.2GHz,3.2GHz,2.7GHz,,,64MB,,,SP3,1P/2P,PCIe 3.0 x128,,180W,,,2666MHz,DDR4,8,170.60 GB/s,,,,,,,,
AMD EPYC™ 7552,AMD EPYC™,AMD EPYC™ 7002 Series,Server,,48,96,,,2.2GHz,3.3GHz,,,,192MB,,,SP3,1P/2P,PCIe 4.0 x128,,200W,,,3200MHz,DDR4,8,204.80 GB/s,,,,,,,,
AMD EPYC™ 7551P,AMD EPYC™,AMD EPYC™ 7001 Series,Server,,32,64,,,2GHz,3GHz,2.55GHz,,,64MB,,,SP3,1P,PCIe 3.0 x128,,180W,,,2666MHz,DDR4,8,170.60 GB/s,,,,,,,,
AMD EPYC™ 7551,AMD EPYC™,AMD EPYC™ 7001 Series,Server,,32,64,,,2GHz,3GHz,2.55GHz,,,64MB,,,SP3,1P/2P,PCIe 3.0 x128,,180W,,,2666MHz,DDR4,8,170.60 GB/s,,,,,,,,
AMD EPYC™ 7542,AMD EPYC™,AMD EPYC™ 7002 Series,Server,,32,64,,,2.9GHz,3.4GHz,,,,128MB,,,SP3,1P/2P,PCIe 4.0 x128,,225W,,,3200MHz,DDR4,8,204.80 GB/s,,,,,,,,
AMD EPYC™ 7502P,AMD EPYC™,AMD EPYC™ 7002 Series,Server,,32,64,,,2.5GHz,3.35GHz,,,,128MB,,,SP3,1P,PCIe 4.0 x128,,180W,,,3200MHz,DDR4,8,204.80 GB/s,,,,,,,,
AMD EPYC™ 7502,AMD EPYC™,AMD EPYC™ 7002 Series,Server,,32,64,,,2.5GHz,3.35GHz,,,,128MB,,,SP3,1P/2P,PCIe 4.0 x128,,180W,,,3200MHz,DDR4,8,204.80 GB/s,,,,,,,,
