Model,Family,Line,Platform,Launch Date,# of CPU Cores,# of Threads,# of GPU Cores,Compute Cores,Base Clock,Max Boost Clock,All Core Boost Speed,Total L1 Cache,Total L2 Cache,Total L3 Cache,Unlocked,CMOS,Package,Socket Count,PCI Express® Version AMD EPYC™ 7002 Series,Thermal Solution PIB,Default TDP / TDP AMD EPYC™ 7002 Series,cTDP,Max Temps,System Memory Specification AMD EPYC™ 7002 Series,System Memory Type,Memory Channels,Per Socket Mem BW,Graphics Frequency,GPU Base,Graphics Model,Graphics Core Count,DisplayPort,HDMI,DVI,VGA
A6-6420B with Radeon™ HD 8470D,AMD A-Series Processors,AMD Business Class - Dual-Core A6-Series APU for Desktops,Desktop,,2,2,,,4GHz,4.2GHz,,96KB,1MB,,No,32nm SOI,FM2,,,,65W,,70°C,1866MHz,,2,,800 MHz,,AMD Radeon™ HD 8470D,192,Yes,Yes,,
A6-6400K with Radeon™ HD 8470D,AMD A-Series Processors,AMD A6-Series APU for Desktops,Desktop,,2,2,,,3.9GHz,4.1GHz,,96KB,1MB,,Yes,32nm SOI,FM2,,,,65W,,70°C,1866MHz,,2,,800 MHz,,AMD Radeon™ HD 8470D,192,Yes,Yes,,
A6-6400B with Radeon™ HD 8470D,AMD A-Series Processors,AMD Business Class - Dual-Core A6-Series APU for Desktops,Desktop,,2,2,,,3.9GHz,4.1GHz,,96KB,1MB,,No,32nm SOI,FM2,,,,65W,,70°C,1866MHz,,2,,800 MHz,,AMD Radeon™ HD 8470D,192,Yes,Yes,,
A6-6310 with Radeon™ R4 Graphics,AMD A-Series Processors,AMD A6-Series APU for Laptops,Laptop,,4,4,,,2.4GHz,,,,2MB,,No,28nm,FT3b,,,,15W,,,1865MHz,,1,,,,AMD Radeon™ R4 Graphics,,Yes,Yes,,
A6-6310 with Radeon™ R4 Graphics,AMD A-Series Processors,AMD A6-Series APU for Desktops,Desktop,,4,4,,,1.8GHz,2.4GHz,,128KB,2MB,,No,28nm,FT3b,,,,15/25W,,90°C,1866MHz,,1,,800 MHz,,AMD Radeon™ R4 Series,128,Yes,Yes,,
A6-5350M with Radeon™ HD 8450G,AMD A-Series Processors,AMD A6-Series APU for Laptops,Laptop,,2,2,,,2.9GHz,3.5GHz,,,2MB,,No,32nm,FS1r2,,,,35W,,,1600MHz,,2,,533 MHz,,AMD Radeon™ HD 8450G,,Yes,Yes,,
A6-5200M with Radeon™ HD 8400,AMD A-Series Processors,AMD A6-Series APU for Laptops,Laptop,,4,4,,,2GHz,,,,2MB,,No,28nm,FT3,,,,25W,,,,,1,,,,AMD Radeon™ HD 8400,,Yes,Yes,,
A6-5200 with Radeon™ HD 8400,AMD A-Series Processors,AMD A6-Series APU for Desktops,Desktop,,4,4,,,2GHz,,,256KB,2MB,,No,28nm,FT3,,,,25W,,90°C,1600MHz,,1,,600 MHz,,AMD Radeon™ HD 8400,128,Yes,Yes,,
A6 PRO-7400B with Radeon™ R5 Graphics,AMD PRO A-Series Processors,AMD PRO A-Series A6 APU for Desktops,Desktop,,2,2,4,6 (2 CPU + 4 GPU),3.5GHz,3.9GHz,,,1MB,,No,28nm,FM2+,,,,65W,35W/65WW,70°C,1866MHz,,2,,756 MHz,,AMD Radeon™ R5 Graphics,256,Yes,Yes,,
A6 PRO-7050B with Radeon™ R4 Graphics,AMD PRO A-Series Processors,AMD PRO A-Series A6 APU for Laptops,Laptop,,2,2,3,5 (2 CPU + 3 GPU),2.2GHz,3GHz,,,1MB,,No,28nm,FP3,,,,100W,,,1600MHz,,2,,533 MHz,,AMD Radeon™ R4 Graphics,192,Yes,Yes,,
A4-7300 with Radeon™ HD 8470D,AMD A-Series Processors,AMD A4-Series APU for Desktops,Desktop,,2,2,,,3.8GHz,4GHz,,96KB,1MB,,No,32nm SOI,FM2,,,,65W,,70°C,1600MHz,,2,,800 MHz,,AMD Radeon™ HD 8470D,192,Yes,Yes,,
A4-7210 with Radeon™ R3 Graphics,AMD A-Series Processors,AMD A4-Series APU for Laptops,Laptop,,4,4,,,1.8GHz,2.2GHz,,,2MB,,No,28nm,FT3b,,,,65W,,90°C,1600MHz,,1,,686 MHz,,AMD Radeon™ R3 Graphics,,Yes,Yes,,
A4-7210 with Radeon™ R3 Graphics,AMD A-Series Processors,AMD A4-Series APU for AIOs,All-in-One,,4,4,,,1.8GHz,2.2GHz,,,2MB,,No,28nm,FP4,,,,65W,,90°C,1600MHz,,1,,686 MHz,,AMD Radeon™ R3 Graphics,,Yes,Yes,,
A4-6320 with Radeon™ HD 8370D,AMD A-Series Processors,AMD A4-Series APU for Desktops,Desktop,,2,2,,,3.8GHz,4GHz,,96KB,1MB,,No,32nm SOI,FM2,,,,65W,,70°C,1600MHz,,2,,760 MHz,,AMD Radeon™ HD 8370D,128,Yes,Yes,,
A4-6300 with Radeon™ HD 8370D,AMD A-Series Processors,AMD A4-Series APU for Desktops,Desktop,,2,2,,,3.7GHz,3.9GHz,,96KB,1MB,,No,32nm SOI,FM2,,,,65W,,70°C,1600MHz,,2,,760 MHz,,AMD Radeon™ HD 8370D,128,Yes,Yes,,
A4-6210 with Radeon™ R3 Graphics,AMD A-Series Processors,AMD A4-Series APU for Laptops,Laptop,,4,4,,,1.8GHz,,,,2MB,,No,28nm,FT3b,,,,15W,,,1599MHz,,1,,,,AMD Radeon™ R3 Graphics,,Yes,Yes,,
A4-5100 with Radeon™ HD 8330,AMD A-Series Processors,AMD A4-Series APU for Laptops,"Laptop, Tablet",,4,4,,,1.55GHz,,,,2MB,,No,28nm,FT3,,,,15W,,,,,1,,,,AMD Radeon™ HD 8330,,Yes,Yes,,
A4-5100 with Radeon™ HD 8330,AMD A-Series Processors,AMD A4-Series APU for Desktops,Desktop,,4,4,,,1.55GHz,,,256KB,2MB,,No,28nm,FT3,,,,15W,,90°C,1600MHz,,1,,500 MHz,,AMD Radeon™ HD 8330,128,Yes,Yes,,
A4-5000 with Radeon™ HD 8330,AMD A-Series Processors,AMD A4-Series APU for Laptops,"Laptop, Tablet",,4,4,,,1.5GHz,,,,2MB,,No,28nm,FT3,,,,15W,,,,,1,,,,AMD Radeon™ HD 8330,,Yes,Yes,,
A4-5000 with Radeon™ HD 8330,AMD A-Series Processors,AMD A4-Series APU for Desktops,Desktop,,4,4,,,1.5GHz,,,256KB,2MB,,No,28nm,FT3,,,,15W,,90°C,1600MHz,,1,,500 MHz,,AMD Radeon™ HD 8330,128,Yes,Yes,,
A4 PRO-7350B with Radeon™ R5 Graphics,AMD PRO A-Series Processors,AMD PRO A-Series A4 APU for Desktops,Desktop,,2,2,3,5 (2 CPU + 3 GPU),3.4GHz,3.8GHz,,,1MB,,No,28nm,FM2+,,,,65W,35W/65WW,70°C,1866MHz,,2,,514 MHz,,AMD Radeon™ R5 Graphics,192,Yes,Yes,,
A4 PRO-7300B with Radeon™ HD 8470D,AMD PRO A-Series Processors,AMD PRO A-Series A4 APU for Desktops,Desktop,,2,2,,,3.8GHz,4GHz,,96KB,1MB,,No,32nm SOI,FM2,,,,65W,,70°C,1600MHz,,2,,800 MHz,,AMD Radeon™ HD 8470D,192,Yes,Yes,,
A4 PRO-3350B with Radeon™ R4 Graphics,AMD PRO A-Series Processors,AMD PRO A-Series A4 APU for Laptops,Laptop,Q2 2016,4,4,2,,2GHz,2.4GHz,,,2MB,,No,28nm,FT3b,,,,15W,,90°C,1600MHz,,1,,800 MHz,,AMD Radeon™ R4 Graphics,128,Yes,Yes,,
A4 PRO-3340B with Radeon™ HD 8240 Graphics,AMD PRO A-Series Processors,AMD PRO A-Series A4 APU for Laptops,Laptop,,4,4,2,,2.2GHz,,,,2MB,,No,28nm,FT3,,,,25W,,,1600MHz,,1,,400 MHz,,AMD Radeon™ HD 8240 Graphics,128,Yes,Yes,,
A4 Micro-6400T with Radeon™ R3 Graphics,AMD A-Series Processors,AMD A4-Series APU for Laptops,"Laptop, Tablet",,4,4,,,1.6GHz,,,,2MB,,No,28nm,FT3b,,,,4.5W,,,1333MHz,,1,,,,AMD Radeon™ R3 Graphics,,Yes,Yes,,
6386 SE,AMD Opteron™,AMD Opteron™ 6300 Series Processor,Server,,16,16,,,2.8GHz,3.5GHz,,48KB,16MB,16MB,No,32nm,G34,,n/a,,140W,,64.40°C,2000MHz,DDR3,,,,,,,,,,
6380,AMD Opteron™,AMD Opteron™ 6300 Series Processor,Server,,16,16,,,2.5GHz,3.4GHz,,768KB,16MB,16MB,No,32nm,G34,,n/a,,115W,,69°C,2000MHz,DDR3,,,,,,,,,,
6378,AMD Opteron™,AMD Opteron™ 6300 Series Processor,Server,,16,16,,,2.4GHz,3.3GHz,,768KB,16MB,16MB,No,32nm,G34,,n/a,,115W,,69°C,2000MHz,DDR3,,,,,,,,,,
6376,AMD Opteron™,AMD Opteron™ 6300 Series Processor,Server,,16,16,,,2.3GHz,2GHz,,768KB,16MB,16MB,No,32nm,G34,,n/a,,115W,,69°C,2000MHz,DDR3,,,,,,,,,,
6370P,AMD Opteron™,AMD Opteron™ 6300 Series Processor,Server,,16,16,,,2GHz,2.5GHz,,48KB,16MB,16MB,No,32nm,G34,,n/a,,99W,,69°C,2000MHz,DDR3,,,,,,,,,,
6366 HE,AMD Opteron™,AMD Opteron™ 6300 Series Processor,Server,,16,16,,,1.8GHz,3.1GHz,,768KB,16MB,16MB,No,32nm,G34,,n/a,,85W,,65°C,1800MHz,DDR3,,,,,,,,,,
6348,AMD Opteron™,AMD Opteron™ 6300 Series Processor,Server,,12,12,,,2.8GHz,3.4GHz,,576KB,12MB,16MB,No,32nm,G34,,n/a,,115W,,70.40°C,2000MHz,DDR3,,,,,,,,,,
6344,AMD Opteron™,AMD Opteron™ 6300 Series Processor,Server,,12,12,,,2.6GHz,2GHz,,576KB,12MB,16MB,No,32nm,G34,,n/a,,115W,,70.40°C,2000MHz,DDR3,,,,,,,,,,
6338P,AMD Opteron™,AMD Opteron™ 6300 Series Processor,Server,,12,12,,,2.3GHz,2.8GHz,,48KB,12MB,16MB,No,32nm,G34,,n/a,,99W,,69°C,2000MHz,DDR3,,,,,,,,,,
6328,AMD Opteron™,AMD Opteron™ 6300 Series Processor,Server,,8,8,,,3.2GHz,3.8GHz,,384KB,8MB,16MB,No,32nm,G34,,n/a,,115W,,71.70°C,2000MHz,DDR3,,,,,,,,,,
6320,AMD Opteron™,AMD Opteron™ 6300 Series Processor,Server,,8,8,,,2.8GHz,3.3GHz,,384KB,8MB,16MB,No,32nm,G34,,n/a,,115W,,71.70°C,2000MHz,DDR3,,,,,,,,,,
6308,AMD Opteron™,AMD Opteron™ 6300 Series Processor,Server,,4,4,,,3.5GHz,,,192KB,4MB,16MB,No,32nm,G34,,n/a,,115W,,74.40°C,2000MHz,DDR3,,,,,,,,,,
6284 SE,AMD Opteron™,AMD Opteron™ 6200 Series Processor,Server,,16,16,,,2.7GHz,3.4GHz,,768KB,16MB,16MB,No,32nm,G34,,n/a,,140W,,64.40°C,2000MHz,DDR3,,,,,,,,,,
6282 SE,AMD Opteron™,AMD Opteron™ 6200 Series Processor,Server,,16,16,,,2.6GHz,3.3GHz,,768KB,16MB,16MB,No,32nm,G34,,n/a,,140W,,64.40°C,2000MHz,DDR3,,,,,,,,,,
6278,AMD Opteron™,AMD Opteron™ 6200 Series Processor,Server,,16,16,,,2.4GHz,3.3GHz,,768KB,16MB,16MB,No,32nm,G34,,n/a,,115W,,69°C,2000MHz,DDR3,,,,,,,,,,
6276,AMD Opteron™,AMD Opteron™ 6200 Series Processor,Server,,16,16,,,2.3GHz,3.2GHz,,768KB,16MB,16MB,No,32nm,G34,,n/a,,115W,,69°C,2000MHz,DDR3,,,,,,,,,,
6274,AMD Opteron™,AMD Opteron™ 6200 Series Processor,Server,,16,16,,,2.2GHz,3.1GHz,,768KB,16MB,16MB,No,32nm,G34,,n/a,,115W,,69°C,2000MHz,DDR3,,,,,,,,,,
6272,AMD Opteron™,AMD Opteron™ 6200 Series Processor,Server,,16,16,,,2.1GHz,3GHz,,768KB,16MB,16MB,No,32nm,G34,,n/a,,115W,,69°C,2000MHz,DDR3,,,,,,,,,,
6262 HE,AMD Opteron™,AMD Opteron™ 6200 Series Processor,Server,,16,16,,,1.6GHz,2.9GHz,,768KB,16MB,16MB,No,32nm,G34,,n/a,,85W,,65°C,1800MHz,DDR3,,,,,,,,,,
6238,AMD Opteron™,AMD Opteron™ 6200 Series Processor,Server,,12,12,,,2.6GHz,3.2GHz,,576KB,12MB,16MB,No,32nm,G34,,n/a,,115W,,70.40°C,2000MHz,DDR3,,,,,,,,,,
6234,AMD Opteron™,AMD Opteron™ 6200 Series Processor,Server,,12,12,,,2.4GHz,3GHz,,576KB,12MB,16MB,No,32nm,G34,,n/a,,115W,,70.40°C,2000MHz,DDR3,,,,,,,,,,
6220,AMD Opteron™,AMD Opteron™ 6200 Series Processor,Server,,8,8,,,3GHz,3.6GHz,,384KB,8MB,16MB,No,32nm,G34,,n/a,,115W,,71.70°C,2000MHz,DDR3,,,,,,,,,,
6212,AMD Opteron™,AMD Opteron™ 6200 Series Processor,Server,,8,8,,,2.6GHz,3.2GHz,,384KB,8MB,16MB,No,32nm,G34,,n/a,,115W,,71.70°C,2000MHz,DDR3,,,,,,,,,,
6204,AMD Opteron™,AMD Opteron™ 6200 Series Processor,Server,,4,4,,,3.3GHz,,,512KB,4MB,16MB,No,32nm,G34,,n/a,,115W,,74.40°C,2000MHz,DDR3,,,,,,,,,,
6180 SE,AMD Opteron™,AMD Opteron™ 6100 Series Processor,Server,,12,12,,,2.5GHz,,,1536KB,6MB,12MB,No,,G34,,n/a,,140W,,64°C,1800MHz,DDR3,,,,,,,,,,
6176,AMD Opteron™,AMD Opteron™ 6100 Series Processor,Server,,12,12,,,2.3GHz,,,1536KB,6MB,12MB,No,,G34,,n/a,,115W,,69°C,1800MHz,DDR3,,,,,,,,,,
6166 HE,AMD Opteron™,AMD Opteron™ 6100 Series Processor,Server,,12,12,,,1.8GHz,,,1536KB,6MB,12MB,No,,G34,,n/a,,85W,,69°C,1800MHz,DDR3,,,,,,,,,,
6140,AMD Opteron™,AMD Opteron™ 6100 Series Processor,Server,,8,8,,,2.6GHz,,,1024KB,4MB,12MB,No,,G34,,n/a,,115W,,69°C,1800MHz,DDR3,,,,,,,,,,
6132 HE,AMD Opteron™,AMD Opteron™ 6100 Series Processor,Server,,8,8,,,2.2GHz,,,1024KB,4MB,12MB,No,,G34,,n/a,,85W,,66°C,1800MHz,DDR3,,,,,,,,,,
4386,AMD Opteron™,AMD Opteron™ 4300 Series Processor,Server,,8,8,,,3.1GHz,3.8GHz,,384KB,8MB,8MB,No,32nm,C32,,n/a,,95W,,70.50°C,2200MHz,DDR3,,,,,,,,,,
4376 HE,AMD Opteron™,AMD Opteron™ 4300 Series Processor,Server,,8,8,,,2.6GHz,3.6GHz,,384KB,8MB,8MB,No,32nm,C32,,n/a,,65W,,68°C,2000MHz,DDR3,,,,,,,,,,
4365,AMD Opteron™,AMD Opteron™ 4300 Series Processor,Server,,8,8,,,2GHz,2.8GHz,,384KB,8MB,8MB,No,32nm,C32,,n/a,,40W,,70°C,1600MHz,DDR3,,,,,,,,,,
4340,AMD Opteron™,AMD Opteron™ 4300 Series Processor,Server,,6,6,,,3.5GHz,3.8GHz,,288KB,6MB,8MB,No,32nm,C32,,n/a,,95W,,67.70°C,2200MHz,DDR3,,,,,,,,,,
4334,AMD Opteron™,AMD Opteron™ 4300 Series Processor,Server,,6,6,,,3.1GHz,3.5GHz,,288KB,6MB,8MB,No,32nm,C32,,n/a,,95W,,67.70°C,2000MHz,DDR3,,,,,,,,,,
4332 HE,AMD Opteron™,AMD Opteron™ 4300 Series Processor,Server,,6,6,,,3GHz,3.7GHz,,288KB,6MB,8MB,No,32nm,C32,,n/a,,65W,,68°C,2000MHz,DDR3,,,,,,,,,,
4310 EE,AMD Opteron™,AMD Opteron™ 4300 Series Processor,Server,,6,6,,,2.2GHz,3GHz,,192KB,4MB,8MB,No,32nm,C32,,n/a,,35W,,85°C,1600MHz,DDR3,,,,,,,,,,
4284,AMD Opteron™,AMD Opteron™ 4200 Series Processor,Server,,8,8,,,3GHz,3.7GHz,,384KB,8MB,8MB,No,32nm,C32,,n/a,,95W,,70.50°C,2200MHz,DDR3,,,,,,,,,,
4280,AMD Opteron™,AMD Opteron™ 4200 Series Processor,Server,,8,8,,,2.8GHz,2.2GHz,,384KB,8MB,8MB,No,32nm,C32,,n/a,,95W,,70.50°C,2200MHz,DDR3,,,,,,,,,,
4276 HE,AMD Opteron™,AMD Opteron™ 4200 Series Processor,Server,,8,8,,,2.6GHz,3.6GHz,,384KB,8MB,8MB,No,32nm,C32,,n/a,,65W,,68°C,2000MHz,DDR3,,,,,,,,,,
4274 HE,AMD Opteron™,AMD Opteron™ 4200 Series Processor,Server,,8,8,,,2.5GHz,3.5GHz,,384KB,8MB,8MB,No,32nm,C32,,n/a,,65W,,68°C,2000MHz,DDR3,,,,,,,,,,
4256 EE,AMD Opteron™,AMD Opteron™ 4200 Series Processor,Server,,8,8,,,1.6GHz,2.8GHz,,384KB,8MB,8MB,No,32nm,C32,,n/a,,35W,,64°C,1600MHz,DDR3,,,,,,,,,,
4240,AMD Opteron™,AMD Opteron™ 4200 Series Processor,Server,,6,6,,,3.4GHz,3.8GHz,,288KB,6MB,8MB,No,32nm,C32,,n/a,,95W,,70.50°C,,DDR3,,,,,,,,,,
4238,AMD Opteron™,AMD Opteron™ 4200 Series Processor,Server,,6,6,,,3.3GHz,3.7GHz,,288KB,6MB,8MB,No,32nm,C32,,n/a,,95W,,70.50°C,2200MHz,DDR3,,,,,,,,,,
4234,AMD Opteron™,AMD Opteron™ 4200 Series Processor,Server,,6,6,,,3.1GHz,3.5GHz,,288KB,6MB,8MB,No,32nm,C32,,n/a,,95W,,70.50°C,2200MHz,DDR3,,,,,,,,,,
4230 HE,AMD Opteron™,AMD Opteron™ 4200 Series Processor,Server,,6,6,,,2.9GHz,3.7GHz,,288KB,6MB,8MB,No,32nm,C32,,n/a,,65W,,68°C,2000MHz,DDR3,,,,,,,,,,
4228 HE,AMD Opteron™,AMD Opteron™ 4200 Series Processor,Server,,6,6,,,2.8GHz,3.6GHz,,288KB,6MB,8MB,No,32nm,C32,,n/a,,65W,,68°C,2000MHz,DDR3,,,,,,,,,,
4226,AMD Opteron™,AMD Opteron™ 4200 Series Processor,Server,,6,6,,,2.7GHz,3.1GHz,,288KB,6MB,8MB,No,32nm,C32,,n/a,,95W,,70.50°C,2000MHz,DDR3,,,,,,,,,,
3380,AMD Opteron™,AMD Opteron™ 3300 Series Processor,Server,,8,8,,,2.6GHz,3.6GHz,,384KB,8MB,8MB,No,32nm,AM3+,,n/a,,65W,,70.30°C,2000MHz,DDR3,,,,,,,,,,
3365,AMD Opteron™,AMD Opteron™ 3300 Series Processor,Server,,8,8,,,2.3GHz,3.3GHz,,384KB,8MB,8MB,No,32nm,AM3+,,n/a,,65W,,70.30°C,2000MHz,DDR3,,,,,,,,,,
3350 HE,AMD Opteron™,AMD Opteron™ 3300 Series Processor,Server,,4,4,,,2.8GHz,3.8GHz,,192KB,4MB,8MB,No,32nm,AM3+,,n/a,,45W,,69.10°C,2000MHz,DDR3,,,,,,,,,,
3320 EE,AMD Opteron™,AMD Opteron™ 3300 Series Processor,Server,,4,4,,,1.9GHz,2.5GHz,,192KB,4MB,8MB,No,32nm,AM3+,,n/a,,25W,,70°C,1400MHz,DDR3,,,,,,,,,,
3280,AMD Opteron™,AMD Opteron™ 3200 Series Processor,Server,,8,8,,,2.4GHz,3.4GHz,,384KB,8MB,8MB,No,32nm,AM3+,,n/a,,65W,,61.10°C,2000MHz,DDR3,,,,,,,,,,
3260 HE,AMD Opteron™,AMD Opteron™ 3200 Series Processor,Server,,4,4,,,2.7GHz,3.7GHz,,192KB,4MB,4MB,No,32nm,AM3+,,n/a,,45W,,61.10°C,2000MHz,DDR3,,,,,,,,,,
3250 HE,AMD Opteron™,AMD Opteron™ 3200 Series Processor,Server,,,,,,2.5GHz,3.5GHz,,192KB,4MB,4MB,No,32nm,AM3+,,n/a,,45W,,,2000MHz,DDR3,,,,,,,,,,
2800+,AMD Sempron™,AMD Sempron™,Desktop,,,,,,56MHz,,,,,,No,65nm,939,,n/a,,45W,,70°C,,Not Listed,,,,,Discrete Graphics Card Required,,,,,
1075T,AMD Phenom™,AMD Phenom™ II X6,Desktop,,6,6,,,3.5GHz,,,768KB,3MB,6MB,No,,AM3,,n/a,,95W,,,,DDR3,,,,,Discrete Graphics Card Required,,,,,
1045T,AMD Phenom™,AMD Phenom™ II X6,Desktop,,,,,,2.7GHz,3.2GHz,,768KB,3MB,6MB,No,,AM3,,n/a,,95W,,71°C,,Not Listed,,,,,Discrete Graphics Card Required,,,,,
980,AMD Phenom™,AMD Phenom™ II X4 Black,Desktop,,4,4,,,3.7GHz,,,512KB,2MB,6MB,Yes,,AM3,,n/a,,125W,,,,DDR3,,,,,Discrete Graphics Card Required,,,,,
975,AMD Phenom™,AMD Phenom™ II X4 Black,Desktop,,4,4,,,3.6GHz,,,512KB,2MB,6MB,Yes,45nm SOI,AM3,,n/a,,125W,,62°C,,DDR3,,,,,Discrete Graphics Card Required,,,,,
965,AMD Phenom™,AMD Phenom™ II X4 Black,Desktop,,4,4,,,3.4GHz,,,,2MB,,Yes,,AM3,,n/a,,80W,,,,Not Listed,,,,,Discrete Graphics Card Required,,,,,
960T,AMD Phenom™,AMD Phenom™ II X4 Black,Desktop,,4,4,,,3GHz,3.4GHz,,512KB,512KB,,Yes,,AM3,,n/a,,95W,,71°C,,Not Listed,,,,,Discrete Graphics Card Required,,,,,
880K with Near Silent Thermal Solution,AMD Athlon™ Processors,AMD Athlon™ X4,Desktop,,4,,,,4GHz,4.2GHz,,256KB,4MB,,Yes,28nm,FM2+,,,Near Silent 125W,95W,,72.40°C,2133MHz,DDR3,2,,,,Discrete Graphics Card Required,,,,,
870K with Near Silent Thermal Solution,AMD Athlon™ Processors,AMD Athlon™ X4,Desktop,,4,4,,,3.9GHz,4.1GHz,,128KB,4MB,,Yes,28nm,FM2+,,PCIe 3.0,Near Silent 95W,95W,,72.40°C,2133MHz,DDR3,2,,,,Discrete Graphics Card Required,,,,,
860K,AMD Athlon™ Processors,AMD Athlon™ X4,Desktop,,4,4,,,3.7GHz,4GHz,,128KB,4MB,,Yes,28nm,FM2+,,PCIe 3.0,,95W,,72.40°C,2133MHz,DDR3,2,,,,Discrete Graphics Card Required,,,,,
860K with Near Silent Thermal Solution,AMD Athlon™ Processors,AMD Athlon™ X4,Desktop,,4,4,,,3.7GHz,4GHz,,128KB,4MB,,Yes,28nm,FM2+,,PCIe 3.0,Near Silent 95W,95W,,72.40°C,2133MHz,DDR3,2,,,,Discrete Graphics Card Required,,,,,
850,AMD Phenom™,AMD Phenom™ II X4,Desktop,,4,4,,,3.3GHz,,,512KB,2MB,,No,,AM3,,n/a,,95W,,,,Not Listed,,,,,Discrete Graphics Card Required,,,,,
845 with Near Silent Thermal Solution,AMD Athlon™ Processors,AMD Athlon™ X4,Desktop,,4,4,,,3.5GHz,3.8GHz,,,2MB,,No,28nm,FM2+,,PCIe 3.0,Near Silent 95W,,,71.30°C,2133MHz,DDR3,2,,,,Discrete Graphics Card Required,,,,,
840,AMD Phenom™,AMD Phenom™ II X4,Desktop,,4,4,,,3.2GHz,,,512KB,2MB,,No,,AM3,,n/a,,95W,,71°C,,DDR3,,,,,Discrete Graphics Card Required,,,,,
760K,AMD Athlon™ Processors,AMD Athlon™ X4,Desktop,,4,4,,,3.8GHz,4.1GHz,,,4MB,,Yes,32nm,FM2,,Not Listed,,100W,,,,Not Listed,,,,,Discrete Graphics Card Required,,,,,
750K,AMD Athlon™ Processors,AMD Athlon™ X4,Desktop,,4,4,,,3.4GHz,4GHz,,,4MB,,No,32nm,FM2,,Not Listed,,100W,,,,Not Listed,,,,,Discrete Graphics Card Required,,,,,
