Model,Family,Line,Platform,Launch Date,# of CPU Cores,# of Threads,# of GPU Cores,Compute Cores,Base Clock,Max Boost Clock,All Core Boost Speed,Total L1 Cache,Total L2 Cache,Total L3 Cache,Unlocked,CMOS,Package,Socket Count,PCI Express® Version AMD EPYC™ 7002 Series,Thermal Solution PIB,Default TDP / TDP AMD EPYC™ 7002 Series,cTDP,Max Temps,System Memory Specification AMD EPYC™ 7002 Series,System Memory Type,Memory Channels,Per Socket Mem BW,Graphics Frequency,GPU Base,Graphics Model,Graphics Core Count,DisplayPort,HDMI,DVI,VGA
750,AMD Athlon™ Processors,AMD Athlon™ X4,Desktop,,4,,,,3.4GHz,4GHz,,192KB,4MB,,No,,FM2,,n/a,,65W,,71.30°C,1866MHz,DDR3,2,,,,Discrete Graphics Card Required,,,,,
740,AMD Athlon™ Processors,AMD Athlon™ X4,Desktop,,4,4,,,3.2GHz,3.7GHz,,,4MB,,No,32nm,FM2,,Not Listed,,65W,,,,Not Listed,,,,,Discrete Graphics Card Required,,,,,
641,AMD Athlon™ Processors,AMD Athlon™ II X4,Desktop,,4,4,,,2.8GHz,,,512KB,4MB,,No,32nm,FM1 uPGA,,Not Listed,,100W,,70.10°C,,Not Listed,,,,,Discrete Graphics Card Required,,,,,
638,AMD Athlon™ Processors,AMD Athlon™ II X4,Desktop,,4,4,,,2.7GHz,,,512KB,4MB,,No,32nm,FM1 uPGA,,Not Listed,,65W,,70.10°C,,Not Listed,,,,,Discrete Graphics Card Required,,,,,
631,AMD Athlon™ Processors,AMD Athlon™ II X4,Desktop,,4,4,,,2.6GHz,,,,4MB,,No,32nm,FM1 uPGA,,Not Listed,,100W,,70.10°C,,Not Listed,,,,,Discrete Graphics Card Required,,,,,
631,AMD Athlon™ Processors,AMD Athlon™ II X4,Desktop,,4,4,,,2.6GHz,,,,4MB,,No,32nm,FM1 uPGA,,Not Listed,,65W,,,,Not Listed,,,,,Discrete Graphics Card Required,,,,,
620e,AMD Athlon™ Processors,AMD Athlon™ II X4,Desktop,,4,4,,,2.7GHz,,,,,,No,,AM3,,Not Listed,,45W,,,,DDR3,,,,,Discrete Graphics Card Required,,,,,
570,AMD Phenom™,AMD Phenom™ II X2 Black,Desktop,,2,2,,,4GHz,,,,,6MB,Yes,,AM3,,n/a,,80W,,,,DDR3,,,,,Discrete Graphics Card Required,,,,,
565,AMD Phenom™,AMD Phenom™ II X2,Desktop,,2,2,,,3.4GHz,,,256KB,1MB,6MB,Yes,,AM3,,n/a,,80W,,70°C,,DDR3,,,,,Discrete Graphics Card Required,,,,,
565,AMD Phenom™,AMD Phenom™ II X2 Black,Desktop,,2,2,,,3.4GHz,,,0KB,1MB,,Yes,45nm SOI,AM3,,,,80W,,,,Not Listed,,,,,Discrete Graphics Card Required,,,,,
555,AMD Phenom™,AMD Phenom™ II X2 Black,Desktop,,2,2,,,3.2GHz,,,,1MB,,Yes,,AM3,,n/a,,80W,,,,Not Listed,,,,,Discrete Graphics Card Required,,,,,
460,AMD Athlon™ Processors,AMD Athlon™ II X3,Desktop,,3,3,,,3.4GHz,,,384KB,1.5MB,,No,,AM3,,Not Listed,,95W,,75°C,,DDR3,,,,,Discrete Graphics Card Required,,,,,
425e,AMD Athlon™ Processors,AMD Athlon™ II X3,Desktop,,3,3,,,2.7GHz,,,384KB,1.5MB,,No,,AM3,,Not Listed,,45W,,,,DDR3,,,,,Discrete Graphics Card Required,,,,,
255e,AMD Athlon™ Processors,AMD Athlon™ II X2,Desktop,,2,2,,,3.1GHz,,,256KB,2MB,,No,,AM3,,Not Listed,,45W,,72°C,,DDR3,,,,,Discrete Graphics Card Required,,,,,
7th Gen FX™ 9830P APU,AMD FX-Series Processors,AMD FX-Series Processors for Laptops,Laptop,Q216,4,,8,,3GHz,3.7GHz,,,2MB,,No,28nm,FP4,,,,35W,25-45WW,90°C,2400MHz,,2,,900 MHz,,AMD Radeon™ R7 Graphics,,Yes,Yes,,
7th Gen FX™ 9800P APU,AMD FX-Series Processors,AMD FX-Series Processors for Laptops,Laptop,Q216,4,,8,,2.7GHz,3.6GHz,,,2MB,,No,28nm,FP4,,,,15W,12-15WW,90°C,1866MHz,,2,,758 MHz,,AMD Radeon™ R7 Graphics,,Yes,Yes,,
7th Gen E2-9010 APU,AMD E-Series Processors,AMD E2-Series APU for Laptops,Laptop,Q217,2,,2,4 (2 CPU + 2 GPU),200MHz,2.2GHz,,,1MB,,No,28nm,,,PCIe 3.0 x8,,15W,10-15WW,90°C,186MHz,,,,600 MHz,,AMD Radeon™ R5 Graphics,2,Yes,Yes,,
7th Gen AMD PRO A12-9830B APU,AMD PRO A-Series Processors,AMD PRO A-Series A12 APU for Laptops,Laptop,10/24/2016,4,,8,,3GHz,3.7GHz,,,2MB,,No,28nm,FP4,,,,35W,25W/45WW,90°C,2400MHz,,2,,900 MHz,,R7,,Yes,Yes,,
7th Gen AMD PRO A12-9800E APU,AMD PRO A-Series Processors,AMD PRO A-Series A12 APU for Desktops,Desktop,10/03/2016,4,,8,,3.1GHz,3.8GHz,,,2MB,,No,28nm,AM4,,PCIe 3.0,,35W,,90°C,2400MHz,,2,,900 MHz,,R7,,Yes,Yes,,
7th Gen AMD PRO A12-9800B APU,AMD PRO A-Series Processors,AMD PRO A-Series A12 APU for Laptops,Laptop,10/24/2016,4,,8,,2.7GHz,3.6GHz,,,2MB,,No,28nm,FP4,,,,15W,12W/15WW,90°C,1866MHz,,2,,758 MHz,,R7,,Yes,Yes,,
7th Gen AMD PRO A12-9800 APU,AMD PRO A-Series Processors,AMD PRO A-Series A12 APU for Desktops,Desktop,10/03/2016,4,,8,,3.8GHz,4.2GHz,,,2MB,,No,28nm,AM4,,PCIe 3.0,,65W,,90°C,2400MHz,,2,,1108 MHz,,R7,,Yes,Yes,,
7th Gen AMD PRO A10-9730B APU,AMD PRO A-Series Processors,AMD PRO A-Series A10 APU for Laptops,Laptop,10/24/2016,4,,6,,2.8GHz,3.5GHz,,,2MB,,No,28nm,FP4,,,,35W,25W/45WW,90°C,2400MHz,,2,,900 MHz,,R7,,Yes,Yes,,
7th Gen AMD PRO A10-9700E APU,AMD PRO A-Series Processors,AMD PRO A-Series A10 APU for Desktops,Desktop,10/03/2016,4,,6,,3GHz,3.5GHz,,,2MB,,No,28nm,AM4,,PCIe 3.0,,35W,,90°C,2400MHz,,2,,847 MHz,,R7,,Yes,Yes,,
7th Gen AMD PRO A10-9700B APU,AMD PRO A-Series Processors,AMD PRO A-Series A10 APU for Laptops,Laptop,10/24/2016,4,,6,,2.5GHz,3.4GHz,,,2MB,,No,28nm,FP4,,,,15W,12W/15WW,90°C,1866MHz,,2,,758 MHz,,R7,,Yes,Yes,,
7th Gen AMD PRO A10-9700 APU,AMD PRO A-Series Processors,AMD PRO A-Series A10 APU for Desktops,Desktop,10/03/2016,4,,6,,3.5GHz,3.8GHz,,,2MB,,No,28nm,AM4,,PCIe 3.0,,65W,45W/65WW,90°C,2400MHz,,2,,1029 MHz,,R7,,Yes,Yes,,
7th Gen AMD PRO A8-9630B,AMD PRO A-Series Processors,AMD PRO A-Series A8 APU for Laptops,Laptop,10/24/2016,4,,6,,2.6GHz,3.3GHz,,,2MB,,No,28nm,FP4,,,,35W,25W/45WW,90°C,2400MHz,,2,,800 MHz,,R5,,Yes,Yes,,
7th Gen AMD PRO A8-9600B APU,AMD PRO A-Series Processors,AMD PRO A-Series A8 APU for Laptops,Laptop,10/24/2016,4,,6,,2.4GHz,3.3GHz,,,2MB,,No,28nm,FP4,,,,15W,12W/15WW,90°C,1866MHz,,2,,720 MHz,,R5,,Yes,Yes,,
7th Gen AMD PRO A8-9600 APU,AMD PRO A-Series Processors,AMD PRO A-Series A8 APU for Desktops,Desktop,10/03/2016,4,,6,,3.1GHz,3.4GHz,,,2MB,,No,28nm,AM4,,PCIe 3.0,,65W,45W/65WW,90°C,2400MHz,,2,,900 MHz,,R7,,Yes,Yes,,
7th Gen AMD PRO A6-9500E APU,AMD PRO A-Series Processors,AMD PRO A-Series A6 APU for Desktops,Desktop,10/03/2016,2,,4,,3GHz,3.4GHz,,,1MB,,No,28nm,AM4,,PCIe 3.0,,35W,,90°C,2400MHz,,2,,800 MHz,,R5,,Yes,Yes,,
7th Gen AMD PRO A6-9500B APU,AMD PRO A-Series Processors,AMD PRO A-Series A6 APU for Laptops,Laptop,10/24/2016,2,,4,,2.3GHz,3.2GHz,,,1MB,,No,28nm,FP4,,,,15W,12W/15WW,90°C,1866MHz,,2,,800 MHz,,R5,,Yes,Yes,,
7th Gen AMD PRO A6-9500 APU,AMD PRO A-Series Processors,AMD PRO A-Series A6 APU for Desktops,Desktop,10/03/2016,2,,6,,3.5GHz,3.8GHz,,,1MB,,No,28nm,AM4,,PCIe 3.0,,65W,45W/65WW,90°C,2400MHz,,2,,1029 MHz,,R5,,Yes,Yes,,
7th Gen AMD PRO A6-7350B APU,AMD PRO A-Series Processors,AMD PRO A-Series A6 APU for Laptops,Laptop,Q1 2018,2,,3,5 (2 CPU + 3 GPU),3GHz,3.6GHz,,,1MB,,No,28nm,,,PCIe 3.0,,15W,,90°C,2133MHz,,1,,,847 MHz,AMD Radeon™ R5 Graphics,,Yes,Yes,,
7th Gen AMD PRO A4-4350B APU,AMD PRO A-Series Processors,AMD PRO A-Series A4 APU for Laptops,Laptop,Q1 2018,2,,3,5 (2 CPU + 3 GPU),2.5GHz,2.9GHz,,,1MB,,No,28nm,,,PCIe 3.0,,15W,,90°C,2133MHz,,1,,,655 MHz,AMD Radeon™ R4 Graphics,,Yes,Yes,,
7th Gen AMD Athlon™ X4 970,AMD Athlon™ Processors,AMD Athlon™ X4,Desktop,7/27/2017,4,4,,,3.8GHz,4GHz,,,2MB,,Yes,28nm,AM4,,PCIe 3.0,,65W,,,2400MHz,DDR4,,,,,Discrete Graphics Card Required,,,,,
7th Gen AMD Athlon™ X4 950,AMD Athlon™ Processors,AMD Athlon™ X4,Desktop,7/27/2017,4,4,,,3.5GHz,3.8GHz,,,2MB,,Yes,28nm,AM4,,PCIe 3.0,,,45/65W,,2400MHz,DDR4,,,,,Discrete Graphics Card Required,,,,,
7th Gen AMD Athlon™ X4 940,AMD Athlon™ Processors,AMD Athlon™ X4,Desktop,7/27/2017,4,4,,,3.2GHz,3.6GHz,,,2MB,,Yes,28nm,AM4,,PCIe 3.0,,,45/65W,,2400MHz,DDR4,,,,,Discrete Graphics Card Required,,,,,
7th Gen A12-9800E APU,AMD A-Series Processors,AMD A12-Series APU for Desktops,Desktop,9/5/2016,4,,8,12 (4 CPU + 8 GPU),3.1GHz,3.8GHz,,,2MB,,Yes,28nm,AM4,,PCIe 3.0 x8,,35W,,90°C,2400MHz,,2,,900 MHz,,Radeon™ R7 Series,,Yes,Yes,,
7th Gen A12-9800 APU,AMD A-Series Processors,AMD A12-Series APU for Desktops,Desktop,"Channel: 7/27/2017, OEM: 9/5/2016",4,,8,12 (4 CPU + 8 GPU),3.8GHz,4.2GHz,,,2MB,,Yes,28nm,AM4,,PCIe 3.0 x8,,65W,,90°C,2400MHz,,2,,1108 MHz,,Radeon™ R7 Series,,Yes,Yes,,
7th Gen A12-9730P APU,AMD A-Series Processors,AMD A12-Series APU for Laptops,Laptop,Q216,4,,6,,2.8GHz,3.5GHz,,,2MB,,No,28nm,FP4,,,,35W,25-45WW,90°C,2400MHz,,2,,900 MHz,,AMD Radeon™ R7 Graphics,,Yes,Yes,,
7th Gen A12-9700P APU,AMD A-Series Processors,AMD A12-Series APU for Laptops,Laptop,Q216,4,,6,,2.5GHz,3.4GHz,,,2MB,,No,28nm,FP4,,,,15W,12-15WW,90°C,1866MHz,,2,,758 MHz,,AMD Radeon™ R7 Graphics,,Yes,Yes,,
7th Gen A10-9700E APU,AMD A-Series Processors,AMD A10-Series APU for Desktops,Desktop,9/5/2016,4,,6,10 (4 CPU + 6 GPU),3GHz,3.5GHz,,,2MB,,Yes,28nm,AM4,,PCIe 3.0 x8,,35W,,90°C,2400MHz,,3,,847 MHz,,Radeon™ R7 Series,,Yes,Yes,,
7th Gen A10-9700 APU,AMD A-Series Processors,AMD A10-Series APU for Desktops,Desktop,"Channel: 7/27/2017, OEM: 9/5/2016",4,,6,10 (4 CPU + 6 GPU),3.5GHz,3.8GHz,,,2MB,,Yes,28nm,AM4,,PCIe 3.0 x8,,65W,45/65W,90°C,2400MHz,,2,,1029 MHz,,Radeon™ R7 Series,,Yes,Yes,,
7th Gen A10-9630P APU,AMD A-Series Processors,AMD A10-Series APU for Laptops,Laptop,Q216,4,,6,,2.6GHz,3.3GHz,,,2MB,,No,28nm,FP4,,,,35W,25-45WW,90°C,2400MHz,,2,,800 MHz,,AMD Radeon™ R5 Graphics,,Yes,Yes,,
7th Gen A10-9600P APU,AMD A-Series Processors,AMD A10-Series APU for Laptops,Laptop,Q216,4,,6,,2.4GHz,3.3GHz,,,2MB,,No,28nm,FP4,,,,15W,12-15WW,90°C,1866MHz,,2,,720 MHz,,AMD Radeon™ R5 Graphics,,Yes,Yes,,
7th Gen A9-9425 APU,AMD A-Series Processors,AMD A9-Series APU for Laptops,Laptop,2Q18,2,,3,5 (2 CPU + 3 GPU),3.1GHz,3.7GHz,,,1MB,,No,28nm,,,PCIe 3.0,,15W,10-15W,90°C,2133MHz,,1,,900 MHz,,AMD Radeon™ R5 Graphics,,Yes,Yes,,
7th Gen A9-9420 APU,AMD A-Series Processors,AMD A9-Series APU for Laptops,Laptop,Q217,2,,3,5 (2 CPU + 3 GPU),3GHz,3.6GHz,,,1MB,,No,28nm,,,PCIe 3.0,,15W,10-15WW,90°C,2133MHz,,,,847 MHz,,AMD Radeon™ R5 Graphics,3,Yes,Yes,,
7th Gen A9-9410 APU,AMD A-Series Processors,AMD A9-Series APU for Laptops,Laptop,Q216,2,,3,5 (2 CPU + 3 GPU),2.9GHz,3.5GHz,,,1MB,,No,28nm,,,,,10-25/25W,,90°C,2133MHz,,1,,800 MHz,,AMD Radeon™ R5 Graphics,3,Yes,Yes,,
7th Gen A8-9600 APU,AMD A-Series Processors,AMD A8-Series APU for Desktops,Desktop,"Channel: 7/27/2017, OEM: 9/5/2016",4,,6,10 (4 CPU + 6 GPU),3.1GHz,3.4GHz,,,2MB,,Yes,28nm,AM4,,PCIe 3.0 x8,,65W,45/65W,90°C,2400MHz,,2,,900 MHz,,Radeon™ R7 Series,,Yes,Yes,,
7th Gen A6-9550 APU,AMD A-Series Processors,AMD A6-Series APU for Desktops,Desktop,7/27/2017,2,,6,8 (2 CPU + 6 GPU),3.8GHz,4GHz,,,1MB,,Yes,28nm,AM4,,PCIe 3.0 x8,,65W,45/65W,90°C,2400MHz,,2,,1029 MHz,,Radeon™ R5 Series,,Yes,Yes,,
7th Gen A6-9500E APU,AMD A-Series Processors,AMD A6-Series APU for Desktops,Desktop,"Channel: 7/27/2017, OEM: 9/5/2016",2,,4,6 (2 CPU + 4 GPU),3GHz,3.4GHz,,,1MB,,Yes,28nm,AM4,,PCIe 3.0 x8,,35W,,90°C,2400MHz,,2,,800 MHz,,Radeon™ R5 Series,,Yes,Yes,,
7th Gen A6-9500 APU,AMD A-Series Processors,AMD A6-Series APU for Desktops,Desktop,"Channel: 7/27/2017, OEM: 9/5/2016",2,,6,8 (2 CPU + 6 GPU),3.5GHz,3.8GHz,,,1MB,,Yes,28nm,AM4,,PCIe 3.0 x8,,65W,45/65W,90°C,2400MHz,,2,,1029 MHz,,Radeon™ R5 Series,,Yes,Yes,,
7th Gen A6-9225 APU,AMD A-Series Processors,AMD A6-Series APU for Laptops,Laptop,2Q18,2,,3,5 (2 CPU + 3 GPU),2.6GHz,3.1GHz,,,1MB,,No,28nm,,,PCIe 3.0,,15W,10-15W,90°C,2133MHz,,1,,686 MHz,,AMD Radeon™ R4 Graphics,,Yes,Yes,,
7th Gen A6-9220C APU,AMD A-Series Processors,AMD A6-Series APU for Laptops,Laptop,,2,2,3,5 (2 CPU + 3 GPU),1.8GHz,2.7GHz,,160KB,1MB,,No,28nm,FT4,,,,6W,,90°C,1866MHz,,1,,720 MHz,,Radeon™ R5 Graphics,3,Yes,Yes,,
7th Gen A6-9220 APU,AMD A-Series Processors,AMD A6-Series APU for Laptops,Laptop,Q217,2,,3,5 (2 CPU + 3 GPU),2.5GHz,2.9GHz,,,1MB,,No,28nm,,,PCIe 3.0,,15W,10-15WW,90°C,2133MHz,,,,655 MHz,,AMD Radeon™ R5 Graphics,3,Yes,Yes,,
7th Gen A6-9210 APU,AMD A-Series Processors,AMD A6-Series APU for Laptops,Laptop,Q216,2,,3,5 (2 CPU + 3 GPU),2.4GHz,2.8GHz,,,1MB,,No,28nm,,,,,15W,,90°C,2133MHz,,1,,600 MHz,,AMD Radeon™ R4 Graphics,3,Yes,Yes,,
7th Gen A4-9125 APU,AMD A-Series Processors,AMD A4-Series APU for Laptops,Laptop,2Q18,2,,2,4 (2 CPU + 2 GPU),2.3GHz,2.6GHz,,,1MB,,No,28nm,,,PCIe 3.0,,15W,10-15WW,90°C,2133MHz,,1,,686 MHz,,AMD Radeon™ R3 Graphics,2,Yes,Yes,,
7th Gen A4-9120C APU,AMD A-Series Processors,AMD A4-Series APU for Laptops,Laptop,,2,2,3,5 (2 CPU + 3 GPU),1.6GHz,2.4GHz,,160KB,1MB,,No,28nm,FT4,,,,6W,,90°C,1866MHz,,1,,600 MHz,,Radeon™ R4 Graphics,3,Yes,Yes,,
7th Gen A4-9120 APU,AMD A-Series Processors,AMD A4-Series APU for Laptops,Laptop,Q217,2,,2,4 (2 CPU + 2 GPU),2.2GHz,2.5GHz,,,1MB,,No,28nm,,,PCIe 3.0,,15W,10-15WW,90°C,2133MHz,,,,655 MHz,,AMD Radeon™ R3 Graphics,2,Yes,Yes,,
6th Gen FX-8800P APU,AMD FX-Series Processors,AMD FX-Series Processors for Laptops,Laptop,,4,4,8,12 (4 CPU + 8 GPU),2.1GHz,3.4GHz,,,2MB,,No,28nm,FP4,,,,15W,,90°C,2133MHz,,2,,800 MHz,,AMD Radeon™ R7 Graphics,,Yes,Yes,,
6th Gen AMD PRO A12-8870E APU,AMD PRO A-Series Processors,AMD PRO A-Series A12 APU for Desktops,Desktop,,4,,8,,2.9GHz,3.8GHz,,,2MB,,No,28nm,AM4,,PCIe 3.0,,35W,,,2400MHz,,2,,900 MHz,,R7,,,,,
6th Gen AMD PRO A12-8870 APU,AMD PRO A-Series Processors,AMD PRO A-Series A12 APU for Desktops,Desktop,3Q 2016,4,,8,,3.7GHz,4.2GHz,,,2MB,,No,28nm,AM4,,PCIe 3.0,,65W,,,2400MHz,,2,,1108 MHz,,R7,,,,,
6th Gen AMD PRO A12-8830B APU,AMD PRO A-Series Processors,AMD PRO A-Series A12 APU for Laptops,Laptop,Q3 2016,4,,6,10 (4 CPU + 6 GPU),2.5GHz,3.4GHz,,,2MB,,No,28nm,FP4,,,,,12W/15WW,,1866MHz,,,,758 MHz,,R7,,,,,
6th Gen AMD PRO A12-8800B APU,AMD PRO A-Series Processors,AMD PRO A-Series A12 APU for Laptops,Laptop,,4,4,8,12 (4 CPU + 8 GPU),2.1GHz,3.4GHz,,,2MB,,No,28nm,FP4,,,,15W,,,2133MHz,,2,,800 MHz,,AMD Radeon™ R7 Graphics,512,Yes,Yes,,
6th Gen AMD PRO A10-8850B APU,AMD PRO A-Series Processors,AMD PRO A-Series A10 APU for Desktops,Desktop,,4,4,8,12 (4 CPU + 8 GPU),3.9GHz,4.1GHz,,,4MB,,No,28nm,FM2+,,,,95W,,72.40°C,2133MHz,,2,,800 MHz,,AMD Radeon™ R7 Graphics,512,Yes,Yes,,
6th Gen AMD PRO A10-8770E APU,AMD PRO A-Series Processors,AMD PRO A-Series A10 APU for Desktops,Desktop,3Q 2016,4,,6,,2.8GHz,3.5GHz,,,2MB,,No,28nm,AM4,,PCIe 3.0,,35W,,,2400MHz,,2,,847 MHz,,R7,,,,,
6th Gen AMD PRO A10-8770 APU,AMD PRO A-Series Processors,AMD PRO A-Series A10 APU for Desktops,Desktop,3Q 2016,4,,6,,3.5GHz,3.8GHz,,,2MB,,No,28nm,AM4,,PCIe 3.0,,65W,,,2400MHz,,2,,1029 MHz,,R7,,,,,
6th Gen AMD PRO A10-8750B APU,AMD PRO A-Series Processors,AMD PRO A-Series A10 APU for Desktops,Desktop,,4,4,8,12 (4 CPU + 8 GPU),3.6GHz,4GHz,,,4MB,,No,28nm,FM2+,,,,65W,45W/65WW,71.30°C,2133MHz,,2,,757 MHz,,AMD Radeon™ R7 Graphics,512,Yes,Yes,,
6th Gen AMD PRO A10-8730B APU,AMD PRO A-Series Processors,AMD PRO A-Series A10 APU for Laptops,Laptop,Q3 2016,4,,6,10 (4 CPU + 6 GPU),2.4GHz,3.3GHz,,,2MB,,No,28nm,FP4,,,,,12W/15WW,,1866MHz,,,,720 MHz,,R5,,,,,
6th Gen AMD PRO A10-8700B APU,AMD PRO A-Series Processors,AMD PRO A-Series A10 APU for Laptops,Laptop,,4,4,6,10 (4 CPU + 6 GPU),1.8GHz,3.2GHz,,,2MB,,No,28nm,FP4,,,,15W,,,2133MHz,,2,,800 MHz,,AMD Radeon™ R6 Graphics,384,Yes,Yes,,
6th Gen AMD PRO A8-8650B APU,AMD PRO A-Series Processors,AMD PRO A-Series A8 APU for Desktops,Desktop,,4,4,6,10 (4 CPU + 6 GPU),3.2GHz,3.9GHz,,,4MB,,No,28nm,FM2+,,,,65W,45W/65WW,71.30°C,2133MHz,,2,,757 MHz,,AMD Radeon™ R7 Graphics,384,Yes,Yes,,
6th Gen AMD PRO A8-8600B APU,AMD PRO A-Series Processors,AMD PRO A-Series A8 APU for Laptops,Laptop,,4,4,6,10 (4 CPU + 6 GPU),1.6GHz,3GHz,,,2MB,,No,28nm,FP4,,,,15W,,,2133MHz,,2,,720 MHz,,AMD Radeon™ R6 Graphics,384,Yes,Yes,,
6th Gen AMD PRO A6-8570E APU,AMD PRO A-Series Processors,AMD PRO A-Series A6 APU for Desktops,Desktop,,2,,4,,3GHz,3.4GHz,,,1MB,,No,28nm,AM4,,PCIe 3.0,,35W,,,2400MHz,,2,,800 MHz,,R5,,,,,
6th Gen AMD PRO A6-8570 APU,AMD PRO A-Series Processors,AMD PRO A-Series A6 APU for Desktops,Desktop,,2,,6,,3.5GHz,3.8GHz,,,1MB,,No,28nm,AM4,,PCIe 3.0,,65W,,,2400MHz,,2,,1029 MHz,,R5,,,,,
6th Gen AMD PRO A6-8550B APU,AMD PRO A-Series Processors,AMD PRO A-Series A6 APU for Desktops,Desktop,,2,2,4,6 (2 CPU + 4 GPU),3.7GHz,4GHz,,,1MB,,No,28nm,FM2+,,,,65W,45W/65WW,71.30°C,2133MHz,,2,,800 MHz,,AMD Radeon™ R5 Graphics,256,Yes,Yes,,
6th Gen AMD PRO A6-8530B APU,AMD PRO A-Series Processors,AMD PRO A-Series A6 APU for Laptops,Laptop,Q3 2016,2,,4,6 (2 CPU + 4 GPU),2.3GHz,3.2GHz,,,1MB,,No,28nm,FP4,,,,,12W/15WW,,1866MHz,,,,800 MHz,,R5,,,,,
6th Gen AMD PRO A6-8500B APU,AMD PRO A-Series Processors,AMD PRO A-Series A6 APU for Laptops,Laptop,,2,4,4,6 (2 CPU + 4 GPU),1.6GHz,3GHz,,,1MB,,No,28nm,FP4,,,,15W,,,1600MHz,,2,,800 MHz,,AMD Radeon™ R5 Graphics,256,Yes,Yes,,
6th Gen AMD PRO A4-8350B APU,AMD PRO A-Series Processors,AMD PRO A-Series A4 APU for Desktops,Desktop,,2,2,4,6 (2 CPU + 4 GPU),3.5GHz,3.9GHz,,,1MB,,No,28nm,FM2+,,,,65W,45W/65WW,71.30°C,1866MHz,,2,,757 MHz,,AMD Radeon™ R5 Graphics,256,Yes,Yes,,
6th Gen A10-8700P APU,AMD A-Series Processors,AMD A10-Series APU for Laptops,Laptop,,4,4,6,10 (4 CPU + 6 GPU),1.8GHz,3.2GHz,,,2MB,,No,28nm,FP4,,,,15W,,90°C,2133MHz,,2,,800 MHz,,AMD Radeon™ R6 Graphics,,Yes,Yes,,
6th Gen A8-8600P APU,AMD A-Series Processors,AMD A8-Series APU for Laptops,Laptop,,4,4,6,10 (4 CPU + 6 GPU),1.6GHz,3GHz,,,2MB,,No,28nm,FP4,,,,15W,,90°C,2133MHz,,2,,720 MHz,,AMD Radeon™ R6 Graphics,,Yes,Yes,,
